ID;Concierto;Recinto;Productora/organizadora;Tiquetera ;Fecha;Numero_asistentes;Tipo_ artista;Artista;Rango_precios;Opcion_descuento_entradas;Preventa;Cancelado;Cambio_recinto;Genero_musical
37;Tour 30 Años;Movistar Arena;MIDEA4YOU PRODUCCIONES;PuntoTicket;08-03-2024;Sin datos;Internacional;Victor Manuelle;28.750 - 109.250;Descuento 40% Ultimos Tickets;0;0;0;Salsa
38;Tour Auténtico ;Movistar Arena;MULTIMUSICA;PuntoTicket;09-03-2024;Sin datos;Internacional;Gilberto Santa Rosa;32.200 - 138.000;No;0;0;0;Salsa
39;Placebo;Movistar Arena;Lotus;PuntoTicket;20-03-2024;Sin datos ;Internacional;Placebo;28.500 - 109.300;Descuento Banco de Chile  - 20%;1;0;0;Rock
40;Placebo;Movistar Arena;Lotus;PuntoTicket;21-03-2024;Sin datos ;Internacional;Placebo;28.500 - 109.300;Descuento Banco de Chile  - 20%;1;0;0;Rock
41;Tour SE+M;Movistar Arena;Lotus;PuntoTicket;04-04-2024;Sin datos ;Internacional;Arcangel;42.800 - 92.000;Descuento Banco de Chile  - 20%;1;0;0;Reggaeton 
42;Partyson;Movistar Arena;Iguana Producciones;PuntoTicket;05-04-2024;Sin datos;Nacional;Cris MJ;11.500 - 92.000;No;0;0;0;Urbana 
43;The Ultimate Elvis Experience – From Memphis To Movistar Arena;Movistar Arena;AH Producciones;PuntoTicket;06-04-2024;Sin datos;Internacional;Shawn Klush;Sin datos;No;1;0;0;Rock & Roll
43;The Ultimate Elvis Experience – From Memphis To Movistar Arena;Movistar Arena;AH Producciones;PuntoTicket;06-04-2024;Sin datos;Internacional;Ryan Pelton;Sin datos;No;1;0;0;Rock & Roll
43;The Ultimate Elvis Experience – From Memphis To Movistar Arena;Movistar Arena;AH Producciones;PuntoTicket;06-04-2024;Sin datos;Internacional;Moses Snow;Sin datos;No;1;0;0;Rock & Roll
44;Crush The World Tour;Movistar Arena;FanLab;PuntoTicket;09-04-2024;Sin datos;Internacional;Megadeth ;21.850 - 90.850;No;0;0;0;Metal
45;Autopoietica Tour;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;10-04-2024;Sin datos;Nacional;Mon Laferte ;28.750 - 126.500;No;0;0;0;Pop
46;Ages & Stages Tour;Movistar Arena;DG Medios;PuntoTicket;11-04-2024;Sin datos;Internacional;Tom Jones;31.455 - 139.800;Descuento Entel - 20% Descuento Scotiabank-  20%;1;0;0;R&B
47;El Leon del Ritmo Tour;Movistar Arena;Iguana Producciones;PuntoTicket;12-04-2024;Sin datos ;Internacional;Los Fabulosos Cadillacs;18.400 - 120.000;No;0;0;0;Rock
48;The Lost In Love Experience;Movistar Arena;Free Time;PuntoTicket;13-04-2024;Sin datos ;Internacional;Air Supply;45.600 - 136.800;No;0;0;0;Rock
48;The Lost In Love Experience;Movistar Arena;Free Time;PuntoTicket;13-04-2024;Sin datos ;Internacional;Daniel Boaventura ;45.600 - 136.800;No;0;0;0;R&B
49;Milo J;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;14-04-2024;Sin datos;Internacional;Milo J;23.000 - 74.750;No;0;0;0;Trap
50;Partyson;Movistar Arena;Iguana Producciones;PuntoTicket;15-04-2024;Sin datos;Nacional;Cris MJ;11.500 - 92.000;No;0;0;0;Urbana 
51;Partyson;Movistar Arena;Iguana Producciones;PuntoTicket;16-04-2024;Sin datos;Nacional;Cris MJ;11.500 - 92.000;No;0;0;0;Urbana 
52;ITZY 2ND WORLD TOUR 'BORN TO BE';Movistar Arena;DG Medios;PuntoTicket;18-04-2024;Sin datos;Internacional;ITZY;46.600 - 81.550;Descuento Entel - 20% Descuento Scotiabank - 20%;1;0;0;K-Pop
53;Mercyful Fate;Movistar Arena;FanLab;PuntoTicket;22-04-2024;Sin datos ;Internacional;Mercyful Fate;33.350 - 90.850;No;0;0;0;Metal
54;Estopa Gira 25 Aniversario;Movistar Arena;MIDEA4YOU PRODUCCIONES;PuntoTicket;26-04-2024;Sin datos;Internacional;Estopa;28.750 - 80.500;No;0;0;0;Rumba
55;Revuelta ;Movistar Arena;Parlante Producciones;PuntoTicket;27-04-2024;15.000;Nacional;Los Tres;28.750 - 109.250;No;0;0;0;Rock
56;Revuelta;Movistar Arena;Parlante Producciones;PuntoTicket;28-04-2024;15.000;Nacional;Los Tres;28.750 - 109.250;No;0;0;0;Rock
57;Revuelta ;Movistar Arena;Parlante Producciones;PuntoTicket;30-04-2024;15.000;Nacional;Los Tres;28.750 - 109.250;No;0;0;0;Rock
59;Revuelta ;Movistar Arena;Parlante Producciones;PuntoTicket;01-05-2024;15.000;Nacional;Los Tres;28.750 - 109.250;No;0;0;0;Rock
60;Roberto Carlos Santiago CL;Movistar Arena;Patagonia Live;PuntoTicket;06-05-2024;Sin datos ;Internacional;Roberto Carlos;28.750 - 247.250;Descuento Hites 20%;0;0;0;Balada
61;Kool & The Gang & Village People ;Movistar Arena;Free Time;PuntoTicket;11-05-2024;Sin datos;Internacional;Kool & the Gang;22.800 - 114.000;No;0;0;0;Disco 
61;Kool & The Gang & Village People ;Movistar Arena;Free Time;PuntoTicket;11-05-2024;Sin datos;Internacional;Village People;22.800 - 114.000;No;0;0;0;Disco
62;DANNA L¡VE;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;12-05-2024;Sin datos ;Internacional;Danna Paola;11.000 - 115.000;No;0;0;0;Pop
63;Un Deseo Mas;Movistar Arena;MULTIMUSICA;PuntoTicket;14-05-2024;Sin datos;Internacional;Ana Gabriel;35.650 - 231.150;Descuento Hites 20%;0;0;0;Balada
64;Un Deseo Mas;Movistar Arena;MULTIMUSICA;PuntoTicket;15-05-2024;No aplica;Internacional;Ana Gabriel;35.650 - 231.150;Descuento Hites 20%;0;1;1;Balada
65;El After del After Tour;Movistar Arena;Lotus;PuntoTicket;16-05-2024;Sin datos;Internacional;YSY A;23.000 - 43.700;No;0;0;0;Trap
66;La Pelea del Siglo;Movistar Arena;Iguana Producciones;PuntoTicket;17-05-2024;Sin datos;Nacional;Gino Mella;11.500 - 115.000;No;0;0;0;Urbana
66;La Pelea del Siglo;Movistar Arena;Iguana Producciones;PuntoTicket;17-05-2024;Sin datos ;Nacional;Jairo Vera;11.500 - 115.000;No;0;0;0;Urbana
67;La Pelea del Siglo;Movistar Arena;Iguana Producciones;PuntoTicket;18-05-2024;Sin datos;Nacional;Gino Mella;11.500 - 115.000;No;0;0;0;Urbana
67;La Pelea del Siglo;Movistar Arena;Iguana Producciones;PuntoTicket;18-05-2024;Sin datos;Nacional;Jairo Vera;11.500 - 115.000;No;0;0;0;Urbana
68;La Esencia de J aquí;Movistar Arena;La Oreja;PuntoTicket;23-05-2024;Sin datos;Internacional;Justin Quiles;19.990 - 79.990;Descuento Dia de la Madre 20%;0;0;0;Reggaeton 
69;Tour Camila;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;05-06-2024;Sin datos;Internacional;Camila;11.500 - 149.500;No;0;0;0;Balada
70;I Am The Corte;Movistar Arena;Mycelium Producciones;PuntoTicket;06-06-2024;No aplica;Nacional;Marcianeke;17.250. - 40.250;No;0;1;0;Urbana
71;Un Deseo Mas;Movistar Arena;MULTIMUSICA;PuntoTicket;07-06-2024;Sin datos;Internacional;Ana Gabriel;35.650 - 231.150;Descuento Hites 20%;0;0;0;Balada
72;Babasonicos ;Movistar Arena;Lotus;PuntoTicket;08-06-2024;Sin datos ;Internacional;Babasonicos ;19.000 - 69.000;Descuento Banco de Chile  - 20%;1;0;0;Rock
73;Carbon Amor Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;19-06-2024;No aplica;Internacional;Farruko;11.500 - 97.750;No;0;1;0;Reggaeton 
